candidate,case_id,case_index,collision_event_error,disagreement_mse,disagreement_pixel_frechet,disagreement_ssim_error,disagreement_temporal_gradient_mse,energy_drift,exact_miss_mse,exact_miss_pixel_frechet,exact_miss_ssim_error,exact_miss_temporal_gradient_mse,failed_collision_event_error,failed_energy_drift,failed_kinematic_residual,failed_momentum_drift,failed_position_rmse,failed_velocity_rmse,initial_condition_error,kinematic_residual,model_seed,momentum_drift,mse,partial_error,pixel_frechet,position_rmse,post_contact_position_rmse,psnr,ratio_to_random_mse,ratio_to_random_pixel_frechet,ratio_to_random_ssim_error,ratio_to_random_temporal_gradient_mse,ssim,ssim_error,state_failure,temporal_gradient_mse,velocity_rmse
learned-seed-29,test-0159,159,1.0,False,True,False,True,8.186437828582795,False,False,False,False,True,True,True,True,False,True,0.0,0.8912583099434951,29,2.9653093022916797,0.0060853417962789536,True,0.0007557728569968986,0.027016903305452578,0.03651442267735012,22.15715023667429,0.3963211160799202,0.026434567500661817,0.39553280823915254,0.02182111935466287,0.6361513942809683,0.36384860571903166,True,0.0003444845206104219,1.062140062506488
learned-seed-47,test-0159,159,0.0,False,True,False,True,31.101818798628244,False,False,False,False,False,True,True,True,False,True,0.0,1.692128733994355,47,4.643304960377062,0.009365372359752655,True,0.004634500444312559,0.043007380154254295,0.05824420089231473,20.284749507424532,0.6099402384251981,0.16210031055339985,0.6089979782151064,0.04291386996035371,0.43978587706610917,0.5602141229338908,True,0.0006774704670533538,1.7444663106902871
analytic-oracle,test-0160,160,0.0,False,False,False,False,2.655747938941169e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.009544762406229,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0160,160,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.6465642507994195,,0.0,0.009856749325990677,True,0.0028655322262759833,0.03314958523485323,0.03266969833455293,20.062662881572475,0.5465722379252284,0.061389731402289635,0.5440060904679183,0.01705575582093924,0.47754209514542395,0.5224579048545761,True,0.0003080246096942574,0.9416495874085841
linear-extrapolation,test-0160,160,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,3.0675882771495254e-14,,0.0,0.00695950398221612,True,0.0015056214227726283,0.05621679862825962,0.07697802179855819,21.57421712323764,0.38591543120399746,0.032255681471663473,0.4201881877173532,0.01706638701852294,0.5964555470130419,0.40354445298695807,True,0.00030821660766378045,0.9416495874085841
learned-seed-11,test-0160,160,0.0,False,True,False,True,5.987023573354898,False,False,False,False,False,True,True,True,False,True,0.0,0.9878861334678953,11,2.523575955453488,0.008934827521443367,True,0.0004741316577459298,0.02713363117647917,0.03300248916613449,20.48913826729505,0.49545022525774657,0.010157559859716487,0.49435569305529703,0.020249050427942363,0.5252258307908889,0.4747741692091111,True,0.0003656950721051544,1.1613999910489412
learned-seed-29,test-0160,160,1.0,False,True,False,True,1.4496357898736392,False,False,False,False,True,True,True,True,False,True,0.0,0.49943322760227793,29,1.3936975426050107,0.006667529698461294,True,0.0010628477220747108,0.031001218800051415,0.04186570311133229,21.760350412025204,0.3697249983938934,0.02276991882394477,0.36883811163674346,0.021629099771396217,0.6457716367283658,0.3542283632716342,True,0.00039061857387423515,0.8639773424714977
learned-seed-47,test-0160,160,0.0,False,True,False,True,2.1186257898861904,False,False,False,False,False,True,True,True,False,True,0.0,0.22476586348235475,47,0.5848385422853924,0.004742048215121031,True,0.00047489210838791754,0.019231602262276885,0.025845414025504908,23.240340346145672,0.2629540246553378,0.010173851374510231,0.26223921954136614,0.018602657112888395,0.7481481262563894,0.2518518737436106,True,0.000335961434757337,0.4790301049981822
analytic-oracle,test-0161,161,0.0,False,False,False,False,2.0827398177557168e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.002167952127149361,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0161,161,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5162649095325034,,0.0,0.009471362456679344,True,0.004975694238998103,0.03724843832729353,0.037166633148126266,20.235875431871136,0.6227595138509182,0.18290234783333986,0.6241814220218705,0.01945315928067502,0.4204108448627603,0.5795891551372396,True,0.0003095824795309454,0.7357849876100324
linear-extrapolation,test-0161,161,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,2.836688318081587e-14,,0.0,0.005870152730494738,True,0.00045575273088768135,0.054927354008258794,0.07707916209961514,22.313505990678564,0.38597334622069013,0.016753088213796292,0.41706316269676574,0.019411942003879024,0.6127323281694632,0.3872676718305368,True,0.00030892653740011156,0.7357849876100324
learned-seed-11,test-0161,161,1.0,False,True,False,True,35.6724108343453,False,False,False,False,True,True,True,True,True,True,0.0,2.377121341114723,11,5.7197408043847755,0.010186232626438141,True,0.0012245415016351887,0.05132049242007577,0.06919505136565753,19.919864099166823,0.6697635432523646,0.04501311875496958,0.6701269597678878,0.03110559505677677,0.3777477112528542,0.6222522887471458,True,0.0004950222792103887,2.55438684104043
learned-seed-29,test-0161,161,0.0,False,False,False,True,5757.076688582821,False,False,False,False,False,True,True,True,True,True,0.0,9.583038605660818,29,52.447993000655,0.00852199736982584,True,0.008299436577667659,0.37659157115239916,0.5279683447326187,20.694586041733857,0.5603370120556267,0.30508032906277877,0.6713363447660203,0.16083520533189824,0.3766247261645881,0.6233752738354119,True,0.0025595719926059246,11.993213874392342
learned-seed-47,test-0161,161,0.0,False,True,False,True,12.273559056928455,False,False,False,False,False,True,True,True,False,True,0.0,1.384223438887702,47,3.60893069573267,0.006492521148175001,True,0.0006327428584090582,0.02373722021510902,0.030233641438016233,21.87586627063196,0.4268952151707476,0.023259096885563147,0.42675456881297863,0.031637707210724286,0.6037332876905063,0.39626671230949373,True,0.0005034904461354017,1.461623980333247
analytic-oracle,test-0162,162,0.0,False,False,False,False,2.1367483824862774e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.027217753765023753,,3.8505415626139733e-17,0.0,False,3.3957212042246e-16,0.0,0.0,120.0,0.0,4.813565883179933e-15,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0162,162,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5096985817294698,,0.0,0.01294881571084261,True,0.006426212113089434,0.036040601710179594,0.03671053502795384,18.87769950020216,0.5465168978331435,0.09109403724652465,0.5457955828670347,0.01352688556591119,0.4757066670356454,0.5242933329643547,True,0.00032223056768998504,0.7114182249564637
linear-extrapolation,test-0162,162,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,False,True,0.0,2.3438480680921776e-14,,0.0,0.007643526419997215,True,0.0022161655200581,0.0475903988183719,0.0680243691214413,21.16706228936936,0.3226021931924401,0.031415001695544974,0.36632496971191536,0.01146038138831885,0.6481068272677539,0.3518931727322461,True,0.0002730033593252301,0.7114182249564637
learned-seed-11,test-0162,162,1.0,False,True,False,True,70.44354152471927,False,False,False,False,True,True,True,True,False,True,0.0,2.402196217588536,11,7.7729103111829945,0.01299426332116127,True,0.004492405229967328,0.047016084307199654,0.06534130803287945,18.862483367573063,0.5484350568030396,0.06368157822110634,0.5484074606259207,0.02528253629174611,0.47319768722985717,0.5268023127701429,True,0.0006022676825523376,2.5685458336129714
learned-seed-29,test-0162,162,0.0,False,True,False,True,13.455304483263705,False,False,False,False,False,True,True,True,False,True,0.0,1.1354197660535053,29,3.750757476632313,0.011274262331426144,True,0.014087677023154149,0.04113172719686283,0.058087919102751004,19.479118641614463,0.4758408036936323,0.19969825970267557,0.4758164492714665,0.03791152588168095,0.5429288915139928,0.4570711084860072,True,0.0009031090303324163,1.2412145540143351
learned-seed-47,test-0162,162,1.0,False,True,False,True,18.4252778649504,False,False,False,False,True,True,True,True,False,True,0.0,1.2212038920026713,47,4.412496814016445,0.015908094123005867,True,0.002666454968012929,0.04693228794274961,0.05842778533852701,17.98381848099614,0.6714160155405506,0.037798028433825834,0.6712991487484823,0.020494934295431293,0.35514745966857914,0.6448525403314209,True,0.00048821987002156675,1.4269908543249978
analytic-oracle,test-0163,163,0.0,False,False,False,False,6.713216890096076e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.0010470747500833449,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0163,163,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.6429982337422019,,0.0,0.012403415516018867,True,0.00559653916811476,0.03186632052897638,0.031116408556904764,19.0645870713549,0.45542913775907407,0.05592368191572545,0.45266479748330773,0.014204460537200326,0.5668711808865486,0.43312881911345136,True,0.00038105613202787936,0.9509653345728697
linear-extrapolation,test-0163,163,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,2.0610263271325348e-14,,0.0,0.010401692241430283,True,0.0044298364249471525,0.05944285318239959,0.08011595113734592,19.828959999964738,0.38192977753843377,0.04426534966088511,0.4266515880400092,0.013699762926237022,0.5917617196476112,0.40823828035238885,True,0.0003675168554764241,0.9509653345728697
learned-seed-11,test-0163,163,0.0,False,True,False,True,10.429227523019243,False,False,False,False,False,True,True,True,False,True,0.0,1.0322603444531462,11,2.7837236159268843,0.013469254598021507,True,0.0029616270967392595,0.03806161572242356,0.04942628741722283,18.706564379016243,0.494564662444148,0.029594198617363014,0.4931353411695767,0.02855440924183749,0.5281472533950158,0.4718527466049842,True,0.0007660152041353285,1.0716018954492421
