case_id,candidate,family,severity,expected_violation,physics_failed,position_rmse,velocity_rmse,initial_condition_error,energy_drift,momentum_drift,collision_event_error,kinematic_residual,mse,psnr,ssim,ssim_error,pixel_frechet,temporal_gradient_mse,ratio_to_random_mse,low_sensitivity_mse,exact_miss_mse,ratio_to_random_ssim_error,low_sensitivity_ssim_error,exact_miss_ssim_error,ratio_to_random_pixel_frechet,low_sensitivity_pixel_frechet,exact_miss_pixel_frechet,ratio_to_random_temporal_gradient_mse,low_sensitivity_temporal_gradient_mse,exact_miss_temporal_gradient_mse
case-007,inelastic-0.95,inelastic,0.05,energy,1.0,0.0016089187216257628,0.021899680543993792,0.0,0.09745094295295274,0.0,0.0,0.029717260876538257,0.00011301097401883453,39.468793819642286,0.9939261133169364,0.006073886683063634,1.3737145108501814e-05,4.986275598639622e-05,0.006470319742107778,1.0,0.0,0.006468409934323778,1.0,0.0,0.0004178363619544184,1.0,0.0,0.0027961667858029207,1.0,0.0
case-007,inelastic-0.80,inelastic,0.2,energy,1.0,0.0064356748865023765,0.08759872217597538,0.0,0.3598188662878263,0.0,0.0,0.029717260876538257,0.0011806748807430267,29.278696764237985,0.9365568351572019,0.0634431648427981,0.00017488372726953,0.0002036323130596429,0.06759824925152111,1.0,0.0,0.06756405233544871,1.0,0.0,0.005319357100050209,1.0,0.0,0.011419142384527228,1.0,0.0
case-007,inelastic-0.50,inelastic,0.5,energy,1.0,0.016089187216255605,0.2189968054399383,0.0,0.7496226380996376,0.0,0.0,0.029717260876538257,0.0037254909984767437,24.288164816065112,0.7997979143993913,0.2002020856006087,0.0007142467963085785,0.00021154472779016942,0.21329891336456858,1.0,0.0,0.21320601238450032,1.0,0.0,0.0217249130405177,1.0,0.0,0.011862848931173627,1.0,0.0
case-007,momentum-kick-0.025,momentum-kick,0.025,momentum,1.0,0.000983951947495593,0.0133929906036485,0.0,0.0023059932693554473,0.030570356532294698,0.0,0.029717260876538257,4.4199550757184625e-05,43.545821447836516,0.9976248621865661,0.002375137813433903,1.9359438127235055e-06,1.0007470336859114e-05,0.0025305969472384504,1.0,0.0,0.0025294125210868637,1.0,0.0,5.888470371881918e-05,1.0,0.0,0.0005611915268676234,1.0,0.0
case-007,momentum-kick-0.075,momentum-kick,0.075,momentum,1.0,0.002951855842483722,0.04017897181094552,0.0,0.012525259999136232,0.09171106959688412,0.0,0.029717260876538257,0.00034137588227167726,34.667671644348516,0.9816556844176979,0.018344315582302095,1.96337495532487e-05,5.35545805178117e-05,0.01954510285146088,1.0,0.0,0.019535852303896234,1.0,0.0,0.0005971906404174489,1.0,0.0,0.0030031941939263856,1.0,0.0
case-007,momentum-kick-0.150,momentum-kick,0.15,momentum,1.0,0.005903711684966054,0.080357943621891,0.0,0.04187236057148147,0.1834221391937682,0.0,0.029717260876538257,0.0010419709142297506,29.821444038443854,0.9440029308005128,0.055997069199487215,8.321940156661572e-05,0.00012593732390087098,0.05965690531894041,1.0,0.0,0.05963430297653849,1.0,0.0,0.0025312458826032462,1.0,0.0,0.007062220192574045,1.0,0.0
case-007,collision-dropout,collision-dropout,1.0,collision,1.0,0.0646469137431439,0.8759872217597537,0.0,0.0,0.0,1.0,2.9179892169978607e-14,0.007683970499783754,21.144143111458106,0.5543150385963043,0.44568496140369573,0.0012058165257059312,0.0003610412240959704,0.43993732869020835,0.0,0.0,0.4746339835349497,0.0,0.0,0.036676761168786355,1.0,0.0,0.02024620298561528,1.0,0.0
case-007,time-reverse,time-reverse,1.0,initial-condition,1.0,0.018067798661602585,1.0672584123966105,0.8176921738134787,0.0,0.0,0.0,1.1542997959582615,0.006156229414045811,22.106852044029843,0.6690657680228229,0.3309342319771771,0.0,0.0006700254161842167,0.3524681833819664,0.0,0.0,0.35242973493362345,0.0,0.0,0.0,1.0,1.0,0.0375731901960899,1.0,0.0
case-007,random,random,1.0,state,1.0,0.265981607918963,0.8172682259529129,0.34481976303127776,5.43762595263349,2.7789474157925165,1.0,364.99579229194967,0.01746605709195137,17.578051245806762,0.06099230804260835,0.9390076919573916,0.03287685409725158,0.017832539975643158,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
case-008,correct,correct,0.0,none,0.0,0.0,0.0,0.0,4.1679897104504676e-16,0.0,0.0,0.028012984191564613,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
